"Structure No","ID_NEW","pKi","Smiles"
"33","CPDXA0033","9.164043493779205","CC(C)N(CC1)CCC1NC(c1nc(c(C(NCCO)=O)ccc2)c2[n]1Cc1n[o]c(-c([s]2)ccc2Cl)c1)=O"
"34","CPDXA0034","9.154901959985741","CC(C)N(CC1)CCC1NC(c1nc(cccc2)c2[n]1Cc1n[o]c(-c([s]2)ccc2Cl)c1)=O"
"35","CPDXA0035","9.130768280269022","Nc1ncnc2c1ccc(CN(C(CN(C1)S(c3cc(ccc(Cl)c4)c4[s]3)(=O)=O)C(O)=O)C1=O)c2"
"36","CPDXA0036","9.123668528439513","Cc1c2[n](Cc3n[o]c(-c([s]4)ccc4Cl)c3)c(C(NC(CC3)CCN3C3CC3)=O)nc2cc(C(O)=O)c1"
"37","CPDXA0037","9.040958607678906","CC(C)N(CC1)CCC1NC(c1cc2cc(F)cc(F)c2[n]1CC(Nc(cc1)ncc1Cl)=O)=O"
"38","CPDXA0038","9.022878745280337","CC(C)N(CC1)CCC1NC(c1cc2cc(F)cc(F)c2[n]1Cc1n[o]c(-c([s]2)ccc2Cl)c1)=O"
"39","CPDXA0039","9.00222627526243","CN(C)Cc1ncc[n]1-c(cc1)cc(F)c1NC(c1cc(C(F)(F)F)n[n]1-c(cc1)cc2c1[o]nc2N)=O"
"40","CPDXA0040","8.999999999999998","CC(C)N(CC1)CCC1NC(c([n]1Cc2n[o]c(-c([s]3)ccc3Cl)c2)c(C)nc1I)=O"
"41","CPDXA0041","8.95272949927158","CC(C)N(CC1)CCC1NC(c1nc(cc(cc2)C(OCC(O)=O)=O)c2[n]1Cc1n[o]c(-c([s]2)ccc2Cl)c1)=O"
"42","CPDXA0042","8.888239050394388","CC(C)N(CC1)CCC1NC(c1nc2cccc(C(OC)=O)c2[n]1Cc1n[o]c(-c([s]2)ccc2Cl)c1)=O"
"43","CPDXA0043","8.871424808971499","CC(C)N(CC1)CCC1NC(c1cc2c(C)ccc(C)c2[n]1Cc1n[o]c(-c([s]2)ccc2Cl)c1)=O"
"44","CPDXA0044","8.860120913598761","CC(C)N(CC1)CCC1NC(c1nc(cccc2)c2[n]1CC(Nc(cc1)ncc1Cl)=O)=O"
"45","CPDXA0045","8.849485002168008","CC(C)N(CC1)CCC1NC(c([n](Cc1n[o]c(-c([s]2)ccc2Cl)c1)c(c1c(cc2)OC)c2C#N)c1C#N)=O"
"46","CPDXA0046","8.83573884706133","CC(C)N(CC1)CCC1NC(c1nc2cccc(C(OC)=O)c2[n]1Cc1n[o]c(-c([s]2)ccc2Cl)c1)=O"
"47","CPDXA0047","8.774813852522376","CC(C)N(CC1)CCC1NC(c1nc(c(C(NCCO)=O)ccc2)c2[n]1Cc1cc(ccc(Cl)c2)c2[s]1)=O"
"48","CPDXA0048","8.7679043146795","CC(C)N(CC1)CCC1NC(c1n[n](Cc2n[o]c(-c([s]3)ccc3Cl)c2)c(cc2)c1cc2C(N1CCC1)=O)=O"
"49","CPDXA0049","8.764383490675176","CC(C)N(CC1)CCC1NS(CCNC(c([s]1)ccc1Cl)=O)(=O)=O"
"50","CPDXA0050","8.751424555868818","CC(C)N(CC1)CCC1NC(c1cc(c(C(OCC(O2)=C(C)OC2=O)=O)ccc2)c2[n]1Cc1n[o]c(-c([s]2)ccc2Cl)c1)=O"
"51","CPDXA0051","8.721300542227862","COC(c(cc(cc1)N(C=CC=C2)C2=O)c1NC(CCNC(c([s]1)ccc1Cl)=O)=O)=O"
"52","CPDXA0052","8.714781072038003","CC(C)N(CC1)CCC1NC(c1cc(c(C(N(CC2)CCC2(F)F)=O)ccc2)c2[n]1CC(Nc(cc1)ncc1Cl)=O)=O"
"53","CPDXA0053","8.713500341454525","CC(C)N(CC1)CCC1NC(c1nc([C@H](CCC2)C(O)=O)c2[n]1Cc1n[o]c(-c([s]2)ccc2Cl)c1)=O"
"54","CPDXA0054","8.711024436135121","O=C(c1nc(cccc2)c2[n]1Cc1n[o]c(-c([s]2)ccc2Cl)c1)Nc(cc1)ccc1N(C=CN=C1)C1=O"
"55","CPDXA0055","8.7049359026397","CC(C)N(CC1)CCC1NC(c([n]1Cc2n[o]c(-c([s]3)ccc3Cl)c2)c(C)nc1SCC(F)(F)F)=O"
"56","CPDXA0056","8.69917095848953","CC(C)N(CC1)CCC1NC(c1cc(c(CO)ccc2)c2[n]1Cc1n[o]c(-c([s]2)ccc2Cl)c1)=O"
"57","CPDXA0057","8.698970004336019","CC(C)N(CC1)CCC1NC(c1cc(cc(cc2)C#N)c2[n]1Cc1n[o]c(-c([s]2)ccc2Cl)c1)=O"
"58","CPDXA0058","8.694648630553376","NC(c1cccc(C(CC2)CCN2C(c(cc2)ccc2-c(cc2)cnc2O)=O)c1)=N"
"59","CPDXA0059","8.654017448616319","CC(C)N(CC1)CCC1NC(c1nc(c(OCCO)ccc2)c2[n]1Cc1cc(ccc(Cl)c2)c2[s]1)=O"
"60","CPDXA0060","8.652916852033401","CC(C)N(CC1)CCC1NC(c1nc(c(OCCO)ccc2)c2[n]1Cc1nnc(-c([s]2)ccc2Cl)[s]1)=O"
"61","CPDXA0061","8.628983260343789","CC(C)N(CC1)CCC1NC(c1nc(cc(cc2)C(OC)=O)c2[n]1Cc1n[o]c(-c([s]2)ccc2Cl)c1)=O"
"62","CPDXA0062","8.623423042943486","CC(C)N(CC1)CCC1NC(c1nc(c(C(OCCO)=O)ccc2)c2[n]1Cc1n[o]c(-c([s]2)ccc2Cl)c1)=O"
"63","CPDXA0063","8.610924374808176","CC(C)N(CC1)CCC1NC(c([n](Cc1n[o]c(-c([s]2)ccc2Cl)c1)c1c2cccc1)c2Br)=O"
"64","CPDXA0064","8.610924374808176","CC(C)N(CC1)CCC1NC(c([n](Cc1n[o]c(-c([s]2)ccc2Cl)c1)c1c2cccc1)c2Cl)=O"
"65","CPDXA0065","8.610151260883834","CC(C)N(CC1)CCC1NC(c1cc(c(C(OC(C)OC(OCCOC)=O)=O)ccc2)c2[n]1CC(Nc(cc1)ncc1Cl)=O)=O"
"66","CPDXA0066","8.60205999132796","CC(C)N(CC1)CCC1NS(C(CNC(c([s]1)ccc1Cl)=O)COC)(=O)=O"
"67","CPDXA0067","8.590445288116074","CC(C)N(CC1)CCC1N(C(C)=O)S(CCNC(c([s]1)ccc1Cl)=O)(=O)=O"
"68","CPDXA0068","8.573638044604396","CC(C)N(CC1)CCC1NC(c1nc(c(C(OCC(O)=O)=O)ccc2)c2[n]1Cc1n[o]c(-c([s]2)ccc2Cl)c1)=O"
"69","CPDXA0069","8.572204082572515","CC(C)N(CC1)CCC1NC(c1nc2c(C(NCCO)=O)[s]cc2[n]1Cc1n[o]c(-c([s]2)ccc2Cl)c1)=O"
